Age (ka),PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10,PC 11,PC 12,PC 13,PC 14,PC 15,PC 16,PC 17,PC 18,PC 19,PC 20,PC 21,PC 22,PC 23,PC 24,PC 25,PC 26,PC 27,PC 28,PC 29,PC 30
54,0.29504,-0.19397,-0.30945,0.1677,0.030978,0.23745,-0.21144,-0.2358,0.18892,-0.26398,-0.24305,-0.046499,0.23483,0.047565,0.0074612,0.14657,0.17234,-0.086483,0.10775,0.11313,0.092555,-0.055149,0.00084253,-0.082207,0.047964,-0.0031983,0.045399,0.048402,0.009955,0.0085732
56,0.071521,-0.21675,-0.21918,0.11174,-0.071984,0.32631,-0.084786,0.0072346,0.34371,0.0065369,-0.29184,0.074813,0.062369,0.081612,-0.028192,0.0024291,-0.0077092,-0.0034295,-0.0672,0.093097,-0.11951,0.0084857,0.11486,0.045521,0.017283,-0.022069,0.022116,-0.017297,0.00642,0.0035916
58,0.16643,-0.14714,0.13819,-0.058808,-0.1619,0.30854,0.0047057,-0.16908,0.043578,0.15898,-0.0787,0.2167,0.049376,0.26739,0.13279,0.032235,-0.03408,0.065691,-0.058116,0.10431,-0.13304,-0.030921,-0.04952,-0.07623,0.0061842,0.023996,0.01757,-0.0073382,0.0017383,-0.040524
60,0.74072,-0.19452,0.24669,-0.24795,0.33268,0.16044,-0.39812,0.23278,-0.18361,-0.038552,0.14125,0.20249,-0.042174,0.045851,0.050942,-0.16035,-0.01186,-0.039902,-0.042419,0.14899,-0.081638,0.13348,-0.085343,-0.0025586,0.0078203,-0.024685,-0.0011806,-0.018339,0.018203,-0.022917
62,0.3934,0.00060383,-0.43686,-0.22822,0.18739,-0.10335,-0.13269,-0.18426,-0.089839,-0.2894,0.19464,0.13749,0.086542,0.093089,0.22067,-0.020758,-0.080211,-0.081315,0.051966,0.024105,0.019291,0.0023236,-0.021867,0.073752,0.0085995,0.13696,0.043028,-0.0594,-0.018145,0.010111
64,0.87247,-0.35158,-0.47466,-0.18774,0.20189,-0.29403,-0.27805,0.0046031,0.16869,-0.07137,0.2205,0.079946,0.10045,0.16247,0.081421,-0.13553,0.12895,0.12499,0.076926,-0.030872,-0.0084538,0.033383,0.058871,0.024917,-0.10071,0.040336,-0.010086,-0.0075314,-0.016798,-0.027341
66,0.63473,-0.24135,0.0078086,-0.26248,0.096795,-0.16027,-0.0027783,-0.27917,0.081557,0.015963,-0.030825,-0.062735,0.11141,0.013122,0.072937,-0.11527,0.10442,0.0030496,0.039848,-0.046984,-0.033067,0.14253,0.1287,0.061173,0.0071818,-0.054655,-0.060911,0.032674,0.026755,-0.00080896
68,0.25263,-0.15046,-0.0084219,-0.36364,0.016196,0.048073,0.09762,-0.51817,-0.040048,0.13395,-0.061995,0.15919,0.15322,-0.21601,-0.068721,-0.028248,-0.14961,0.055869,-0.012859,0.099268,-0.04658,-0.017158,-0.054964,0.037288,-0.048907,-0.048259,0.049911,0.046545,0.026314,-0.017674
70,0.072497,-0.11534,-0.30599,-0.38044,0.0036247,0.26378,0.080152,-0.28835,-0.0058965,-0.039355,0.069226,0.058735,0.12306,-0.065818,0.030576,0.011103,0.028435,0.036038,0.088052,-0.14515,0.03075,0.04284,0.11785,0.066258,-0.079674,-0.053381,-0.029438,0.024611,-0.0057867,-0.021475
72,-0.22582,-0.097053,-0.16947,-0.25796,0.15493,0.37725,0.33207,0.075366,-0.11125,0.11459,0.062229,-0.051992,-0.014079,0.047765,0.066721,0.17327,0.10304,0.036454,-0.016394,-0.039014,0.044625,0.11863,0.020421,-0.048711,0.01747,-0.036873,0.050494,-0.0077016,-0.015152,0.0035657
74,-0.20379,-0.1195,-0.15154,-0.12983,0.047901,0.42835,0.28585,0.082577,-0.055919,0.1104,0.054244,-0.070311,-0.052945,0.19035,0.022945,0.1023,-0.020438,-0.0081729,0.00012861,-0.0070267,0.040473,0.062268,-0.036699,-0.045864,0.018363,-0.016448,0.047966,-0.00083249,0.004498,0.00075417
76,-0.20282,-0.035919,-0.088307,-0.016831,0.018179,0.31147,0.36343,0.19367,0.077014,-0.077708,0.085001,0.028165,-0.050298,0.12342,-0.041296,0.044928,-0.031653,0.063284,-0.055659,0.0011888,-0.080972,0.024382,-0.053827,-0.037256,0.048829,0.02767,-0.041604,-0.058571,-0.026142,0.018183
78,-0.25474,0.021198,-0.10956,0.16995,0.053168,0.34597,0.06835,0.058149,-0.052465,0.09886,0.089768,-0.16524,-0.047139,0.1544,0.061776,-0.071958,-0.17592,-0.042684,0.07557,0.031632,0.23792,-0.0068445,0.046825,0.029908,-0.00092429,0.019907,0.0036674,0.017804,0.041141,0.0090744
80,-0.55233,0.29914,-0.20843,0.21191,0.13128,0.040988,-0.033352,-0.04294,-0.13371,0.15168,0.018721,-0.089839,0.09034,-0.066657,0.051226,-0.019141,-0.0037417,0.055684,0.013608,0.034934,0.079077,0.08854,-0.011793,-0.010473,0.020948,0.010524,-0.03534,0.014425,0.024505,0.002676
82,-0.54075,0.28604,-0.18376,0.23228,0.096077,-0.0028809,-0.046289,-0.19312,-0.065481,0.11288,-0.049578,-0.042151,0.030319,-0.12938,-0.049754,-0.0058675,0.082532,0.084982,-0.12774,0.0079078,-0.058637,0.13644,-0.086427,-0.034678,0.00034593,-0.00089245,0.022571,-0.0037963,0.012893,-0.0059685
84,-0.35459,0.2641,-0.15694,0.12833,0.18018,0.071539,-0.10878,-0.31063,-0.19155,-0.035522,-0.1067,-0.054508,-0.066029,-0.066626,-0.032272,-0.071549,0.056227,-0.026536,-0.12212,0.029451,-0.034103,-0.02368,-0.18945,-0.055487,0.009923,-0.0064647,-0.0091626,0.027943,0.028469,-0.018116
86,-0.32829,0.29564,-0.2479,0.085547,0.13596,0.10452,-0.049394,-0.2281,-0.15169,-0.30581,-0.10508,0.015063,-0.090428,-0.13698,0.04548,-0.054479,0.049338,-0.0066959,-0.12043,-0.043655,-0.091306,0.026806,-0.096361,0.014319,0.065862,0.035913,-0.1093,-0.038434,0.0012926,0.012114
88,-0.34083,0.063917,-0.20294,-0.0070252,0.10446,0.099607,0.096577,-0.065719,-0.19713,0.0047635,0.099371,0.082811,-0.18843,0.081451,-0.077244,0.030036,0.12282,-0.026076,-0.073274,0.05415,0.052482,0.0026551,0.11567,0.0018439,0.014354,-0.029041,0.036615,-0.011344,-0.011849,0.00033204
90,-0.16946,0.19942,0.031443,0.20946,0.18459,0.030827,0.35545,-0.11782,-0.10399,0.0019949,-0.20665,0.039293,-0.0087935,-0.052598,-0.039587,-0.13774,-0.0063826,0.016825,-0.17321,-0.0038402,0.032038,-0.021126,0.090562,0.088139,0.0038774,0.016446,-0.034766,-0.035903,-0.0021544,0.025696
92,-0.28079,0.21584,-0.2856,0.39709,0.13099,0.079924,0.017813,0.090298,-0.12258,0.25046,-0.077305,0.034548,0.15766,0.012277,-0.070025,-0.01399,-0.049624,-0.02533,-0.0042275,-0.043809,-0.022465,0.085579,0.048312,0.053173,-0.037626,-0.014153,-0.0050396,0.001112,0.0091807,-0.0093341
94,-0.53463,0.37925,-0.069118,0.46115,0.14523,-0.13522,0.14468,0.14022,-0.14264,0.27033,0.2663,0.13022,0.14146,0.11894,-0.23088,0.057096,0.0090454,-0.13334,0.032074,0.054058,-0.033865,-0.043577,0.061188,-0.025014,-0.014514,-0.0065529,0.049142,-0.0049981,-0.028743,-0.014961
96,-0.45107,0.38785,-0.13412,0.39831,-0.035465,-0.18279,-0.041186,-0.021517,-0.12637,0.083063,0.076967,0.0078222,0.13283,0.046611,-0.034498,-0.067692,-0.043632,-0.066368,0.057705,0.049474,-0.0010966,-0.019386,0.044556,0.023255,0.026364,0.028903,-0.058167,0.0039767,0.0080056,-0.0001096
98,-0.43412,0.38557,-0.082096,0.30206,-0.10993,-0.22588,-0.018296,-0.03389,-0.050415,0.058657,0.13451,-0.084086,0.21625,-0.007266,0.0045111,-0.0084046,0.010422,-0.089196,0.078121,0.00081329,-0.037323,0.0031948,-0.0030372,-0.0095131,0.013196,0.028393,-0.013855,0.0063363,-0.0052262,-0.0054681
